date_sk	full_date	year_num	quarter_num	month_num	month_name	day_num	day_name	week_num	is_weekend	dwh_create_date
20160909	2016-09-09	2016	3	9	09	9	금요일	37	0	2026-05-13 10:16:29.780
20160910	2016-09-10	2016	3	9	09	10	토요일	37	0	2026-05-13 10:16:29.780
20160911	2016-09-11	2016	3	9	09	11	일요일	38	0	2026-05-13 10:16:29.780
20160912	2016-09-12	2016	3	9	09	12	월요일	38	0	2026-05-13 10:16:29.780
20160913	2016-09-13	2016	3	9	09	13	화요일	38	0	2026-05-13 10:16:29.780
20160914	2016-09-14	2016	3	9	09	14	수요일	38	0	2026-05-13 10:16:29.780
20160915	2016-09-15	2016	3	9	09	15	목요일	38	0	2026-05-13 10:16:29.780
20160916	2016-09-16	2016	3	9	09	16	금요일	38	0	2026-05-13 10:16:29.780
20160917	2016-09-17	2016	3	9	09	17	토요일	38	0	2026-05-13 10:16:29.780
20160918	2016-09-18	2016	3	9	09	18	일요일	39	0	2026-05-13 10:16:29.780
20160919	2016-09-19	2016	3	9	09	19	월요일	39	0	2026-05-13 10:16:29.780
20160920	2016-09-20	2016	3	9	09	20	화요일	39	0	2026-05-13 10:16:29.780
20160921	2016-09-21	2016	3	9	09	21	수요일	39	0	2026-05-13 10:16:29.780
20160922	2016-09-22	2016	3	9	09	22	목요일	39	0	2026-05-13 10:16:29.780
20160923	2016-09-23	2016	3	9	09	23	금요일	39	0	2026-05-13 10:16:29.780
20160924	2016-09-24	2016	3	9	09	24	토요일	39	0	2026-05-13 10:16:29.780
20160925	2016-09-25	2016	3	9	09	25	일요일	40	0	2026-05-13 10:16:29.780
20160926	2016-09-26	2016	3	9	09	26	월요일	40	0	2026-05-13 10:16:29.780
20160927	2016-09-27	2016	3	9	09	27	화요일	40	0	2026-05-13 10:16:29.780
20160928	2016-09-28	2016	3	9	09	28	수요일	40	0	2026-05-13 10:16:29.780
20160929	2016-09-29	2016	3	9	09	29	목요일	40	0	2026-05-13 10:16:29.780
20160930	2016-09-30	2016	3	9	09	30	금요일	40	0	2026-05-13 10:16:29.780
20161001	2016-10-01	2016	4	10	10	1	토요일	40	0	2026-05-13 10:16:29.780
20161002	2016-10-02	2016	4	10	10	2	일요일	41	0	2026-05-13 10:16:29.780
20161003	2016-10-03	2016	4	10	10	3	월요일	41	0	2026-05-13 10:16:29.780
20161004	2016-10-04	2016	4	10	10	4	화요일	41	0	2026-05-13 10:16:29.780
20161005	2016-10-05	2016	4	10	10	5	수요일	41	0	2026-05-13 10:16:29.780
20161006	2016-10-06	2016	4	10	10	6	목요일	41	0	2026-05-13 10:16:29.780
20161007	2016-10-07	2016	4	10	10	7	금요일	41	0	2026-05-13 10:16:29.780
20161008	2016-10-08	2016	4	10	10	8	토요일	41	0	2026-05-13 10:16:29.780
20161009	2016-10-09	2016	4	10	10	9	일요일	42	0	2026-05-13 10:16:29.780
20161010	2016-10-10	2016	4	10	10	10	월요일	42	0	2026-05-13 10:16:29.780
20161011	2016-10-11	2016	4	10	10	11	화요일	42	0	2026-05-13 10:16:29.780
20161012	2016-10-12	2016	4	10	10	12	수요일	42	0	2026-05-13 10:16:29.780
20161013	2016-10-13	2016	4	10	10	13	목요일	42	0	2026-05-13 10:16:29.780
20161014	2016-10-14	2016	4	10	10	14	금요일	42	0	2026-05-13 10:16:29.780
20161015	2016-10-15	2016	4	10	10	15	토요일	42	0	2026-05-13 10:16:29.780
20161016	2016-10-16	2016	4	10	10	16	일요일	43	0	2026-05-13 10:16:29.780
20161017	2016-10-17	2016	4	10	10	17	월요일	43	0	2026-05-13 10:16:29.780
20161018	2016-10-18	2016	4	10	10	18	화요일	43	0	2026-05-13 10:16:29.780
20161019	2016-10-19	2016	4	10	10	19	수요일	43	0	2026-05-13 10:16:29.780
20161020	2016-10-20	2016	4	10	10	20	목요일	43	0	2026-05-13 10:16:29.780
20161021	2016-10-21	2016	4	10	10	21	금요일	43	0	2026-05-13 10:16:29.780
20161022	2016-10-22	2016	4	10	10	22	토요일	43	0	2026-05-13 10:16:29.780
20161023	2016-10-23	2016	4	10	10	23	일요일	44	0	2026-05-13 10:16:29.780
20161024	2016-10-24	2016	4	10	10	24	월요일	44	0	2026-05-13 10:16:29.780
20161025	2016-10-25	2016	4	10	10	25	화요일	44	0	2026-05-13 10:16:29.780
20161026	2016-10-26	2016	4	10	10	26	수요일	44	0	2026-05-13 10:16:29.780
20161027	2016-10-27	2016	4	10	10	27	목요일	44	0	2026-05-13 10:16:29.780
20161028	2016-10-28	2016	4	10	10	28	금요일	44	0	2026-05-13 10:16:29.780
20161029	2016-10-29	2016	4	10	10	29	토요일	44	0	2026-05-13 10:16:29.780
20161030	2016-10-30	2016	4	10	10	30	일요일	45	0	2026-05-13 10:16:29.780
20161031	2016-10-31	2016	4	10	10	31	월요일	45	0	2026-05-13 10:16:29.780
